trialnum,time,state,mapAngle,viewAngle,posx,posy,posz,rotx,roty,rotz,gazex,gazey,gazez
1,1.157864,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.171017,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.184341,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.197701,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.21109,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.224331,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.237652,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.251133,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.264549,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.277897,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.291157,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.304287,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.317677,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.330982,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.344444,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.357727,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.371033,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.38438,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.39777,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.411171,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.424522,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.437843,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.451134,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.464474,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.478077,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.491238,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.504501,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.517941,Hide Map Crossing (Blackscreen 1),0,0,-9,1.7,0,0.07388874,96.98962,0.3290609,-995.5172,-999.7828,-1000.848
1,1.531597,View First Crossing: 0,0,-4,-9,1.7,0,0.446403,97.95361,0.6881332,-995.5172,-999.7828,-1000.848
1,1.544975,View First Crossing: 0,0,-4,-9,1.7,0,0.5073094,98.01183,0.6821366,150.3824,-0.01,-35.09151
1,1.557587,View First Crossing: 0,0,-4,-9,1.7,0,0.5730349,98.06178,0.6798337,108.1105,-0.01,-25.91767
1,1.570732,View First Crossing: 0,0,-4,-9,1.7,0,0.6247893,98.11335,0.6848171,99.08224,-0.01,-24.0272
1,1.58392,View First Crossing: 0,0,-4,-9,1.7,0,0.6518374,98.16593,0.6871672,82.16821,-0.01,-20.31867
1,1.597198,View First Crossing: 0,0,-4,-9,1.7,0,0.6751711,98.19286,0.6729888,75.1665,-0.01,-18.78228
1,1.61174,View First Crossing: 0,0,-4,-9,1.7,0,0.7213994,98.26418,0.6576009,73.33147,-0.01,-18.4157
1,1.623833,View First Crossing: 0,0,-4,-9,1.7,0,0.7762492,98.32124,0.6429731,77.2585,-0.01,-19.3104
1,1.637138,View First Crossing: 0,0,-4,-9,1.7,0,0.8280558,98.37491,0.635678,70.02253,-0.01,-17.78478
1,1.650394,View First Crossing: 0,0,-4,-9,1.7,0,0.8958947,98.42831,0.6411436,65.34987,-0.01,-16.74043
